author,meanCompound,postCount,majorityLabel
007itsmeagain.bsky.social,0.2732,1,positive
01adam12.bsky.social,-0.4939,1,negative
05phatty.bsky.social,0.0,1,neutral
0hbee.bsky.social,-0.0191,1,neutral
0xdaeda1a.bsky.social,0.0,1,neutral
100dianne.bsky.social,0.2235,1,positive
1011now.com,-0.0516,1,negative
11-bravo.bsky.social,0.0772,1,positive
1210cole.bsky.social,-0.10115,2,negative
123456-20.bsky.social,0.07474285714285712,7,positive
1234mimijones.bsky.social,0.17580000000000004,3,positive
123soffie.bsky.social,-0.2023,1,negative
13rrk13.bsky.social,0.0,1,neutral
14osu.gobeavs.app,-0.36335,2,negative
161bklyn.bsky.social,0.4023,1,positive
1916easter.bsky.social,0.0,1,neutral
1973act.bsky.social,0.2732,1,positive
1american10.bsky.social,0.0,1,neutral
1derbunny.bsky.social,-0.5719,1,negative
1forest1.bsky.social,0.0,1,neutral
1ghostofachance.bsky.social,0.6249,1,positive
1granitodearena.bsky.social,0.0,1,neutral
1lilsmokey.bsky.social,-0.1181,1,negative
1luckylady.bsky.social,0.3382,1,positive
1masseymama.bsky.social,0.05898333333333335,6,negative
1mitzvah.bsky.social,0.5574,1,positive
1mkk.bsky.social,-0.0516,1,negative
1toughguy2.bsky.social,-0.3597,1,negative
1truthwhisperer.bsky.social,-0.148,2,neutral
1whiteraven06.bsky.social,-0.7783,1,negative
1whoknew.bsky.social,0.11605,2,positive
2001dalmatians.bsky.social,-0.5423,1,negative
2024fighter.bsky.social,-0.4767,1,negative
20degreessouth.bsky.social,0.3818,1,positive
2112cygnus.bsky.social,0.2732,1,positive
2319-70.bsky.social,0.624,2,positive
24bibi.bsky.social,0.7184,1,positive
2airportkitties.bsky.social,0.2975,1,positive
2frogline69.bsky.social,0.0,1,neutral
2imagine1.bsky.social,0.1779,1,positive
2littlegaypuppies.bsky.social,0.0,1,neutral
2ndbullet-jr.bsky.social,-0.0772,1,negative
2oldforthisbs.bsky.social,-0.8548,1,negative
2peaches.bsky.social,0.2023,1,positive
312t12.bsky.social,-0.743,1,negative
321helloworld.bsky.social,0.0,1,neutral
32mbit.bsky.social,-0.6561,1,negative
35273.bsky.social,0.0,1,neutral
3elo.bsky.social,0.75,1,positive
3fecta.bsky.social,0.0,2,neutral
3ll3d.bsky.social,0.0,1,neutral
3wombats.bsky.social,-0.50005,2,negative
406hiker.bsky.social,0.0,1,neutral
4281r.bsky.social,0.0,1,neutral
42eyes2ears.bsky.social,-0.0516,1,negative
44lights.bsky.social,0.0,2,neutral
4cajoy.bsky.social,0.0,1,neutral
4eyesjohnny.bsky.social,0.5106,1,positive
4fpzephyrtiger.bsky.social,-0.784,1,negative
