commentId,videoId,title,channelTitle,searchQuery,commentAuthor,commentText,commentPublishedAt,commentLikeCount
UgyrSmYEV6CjndENAh94AaABAg,V07bI_iyMVA,Hantavirus cruise ship docks after seven weeks at sea,NBC News,hantavirus outbreak news,@j.dunlop8295,"What happened to the CDC staff that were supposed to track and organize our national defences of diseases, TRump's administration fired them. (Telling the truth, 1st term, made his lies look bad?)",2026-05-18T13:16:32Z,0
UgyP5oROaO77b9XL59J4AaABAg,V07bI_iyMVA,Hantavirus cruise ship docks after seven weeks at sea,NBC News,hantavirus outbreak news,@maxinewest1326,"Hopefully that virus, will cease from spreading.",2026-05-18T13:27:28Z,0
UgyBlykE8ZVJODBhZ6R4AaABAg,KpZN0OA0GNc,Hantavirus outbreak sparks global health concerns and panic-driven speculation,SABC News,hantavirus outbreak news,@WhatApathy,This virus is a minor problem compared to the virus that is the ANC.,2026-05-17T18:24:26Z,14
UgxZn0AP2b57zPMPZh94AaABAg,KpZN0OA0GNc,Hantavirus outbreak sparks global health concerns and panic-driven speculation,SABC News,hantavirus outbreak news,@sibongilemolale,I wonder what these criminals are up to now.,2026-05-18T00:55:38Z,4
Ugy0lE1xzLI_o5pf7r94AaABAg,KpZN0OA0GNc,Hantavirus outbreak sparks global health concerns and panic-driven speculation,SABC News,hantavirus outbreak news,@pierreleroux2910,When you stop reporting fake health concerns then it will stop global health concerns.,2026-05-17T20:42:10Z,4
UgwmSNVHgCnK8tFhx0h4AaABAg,KpZN0OA0GNc,Hantavirus outbreak sparks global health concerns and panic-driven speculation,SABC News,hantavirus outbreak news,@Redeeminglove1414,It’s so sad to see and hear South Africa participating in this performance. 🎭,2026-05-18T06:10:02Z,1
UgxUi64F5R6nkUhVc0h4AaABAg,KpZN0OA0GNc,Hantavirus outbreak sparks global health concerns and panic-driven speculation,SABC News,hantavirus outbreak news,@botlhalenxumalo280,Ohh so it is an outbreak now and if it's not a matter of concern why is it still a subject?,2026-05-17T19:40:16Z,2
UgzEB7GLyUTsv-LK3FJ4AaABAg,KpZN0OA0GNc,Hantavirus outbreak sparks global health concerns and panic-driven speculation,SABC News,hantavirus outbreak news,@stephenphakane1122,What about the Ebola outbreak?,2026-05-18T06:56:39Z,1
UgzGLlu9nH5ZVMRipxJ4AaABAg,KpZN0OA0GNc,Hantavirus outbreak sparks global health concerns and panic-driven speculation,SABC News,hantavirus outbreak news,@unathimichaelmxaku8105,America is back again with a new pandemic 😂😂,2026-05-17T17:10:57Z,5
UgzvIj2-vHLHRYPI8Ld4AaABAg,KpZN0OA0GNc,Hantavirus outbreak sparks global health concerns and panic-driven speculation,SABC News,hantavirus outbreak news,@Rapida-Ali,"Here we go again  fellow South Africans , 2020 2.0 😂",2026-05-17T17:19:31Z,3
UgwY3CSepA-rtqDvF9p4AaABAg,KpZN0OA0GNc,Hantavirus outbreak sparks global health concerns and panic-driven speculation,SABC News,hantavirus outbreak news,@jeremyoliver6028,"Why were the people on cruise ship not taken to a secluded place away from everyone to recover before taking them back home...

Why is the guy crying on the cruise ship looking like the same guy that did the covid 19 video his even wearing the same clothes in the videos",2026-05-17T20:30:02Z,3
UgwcgxuK6zQIvK7kH6t4AaABAg,KpZN0OA0GNc,Hantavirus outbreak sparks global health concerns and panic-driven speculation,SABC News,hantavirus outbreak news,@nicolascooper717,Another bill gates plandemic. All lies and to control people and not the so called virus. Please people dont fall for the same nonsense. Wake up sheeple. All paid actors to lie to people. They want to Jab everyone again.,2026-05-17T17:04:14Z,16
Ugy304PcZRaqvKyQo4x4AaABAg,KpZN0OA0GNc,Hantavirus outbreak sparks global health concerns and panic-driven speculation,SABC News,hantavirus outbreak news,@Nikkles4me,We know it is a side effect of the Covid injection!!!! STOP WITH THE FEAR!,2026-05-17T18:20:48Z,5
Ugy33Oe8wdRSiGUWx5t4AaABAg,KpZN0OA0GNc,Hantavirus outbreak sparks global health concerns and panic-driven speculation,SABC News,hantavirus outbreak news,@nokseswatiniangels,Not Ebola,2026-05-17T19:39:33Z,0
UgwUSFkLMhCnASmm6dp4AaABAg,KpZN0OA0GNc,Hantavirus outbreak sparks global health concerns and panic-driven speculation,SABC News,hantavirus outbreak news,@Rubberboot-Bank,🚨 Global lockdowns ASAP 👆,2026-05-17T20:23:47Z,0
UgwP1zXWKQ4UiHnMnJF4AaABAg,KpZN0OA0GNc,Hantavirus outbreak sparks global health concerns and panic-driven speculation,SABC News,hantavirus outbreak news,@GeorgeBurton-qu4se,lmaof hantus virus is over because it is not that contagious so they ar trying ebola agen so ufos,2026-05-18T05:44:33Z,0
Ugxk5kb4yJwfHCykgWN4AaABAg,KpZN0OA0GNc,Hantavirus outbreak sparks global health concerns and panic-driven speculation,SABC News,hantavirus outbreak news,@estelle.8226,Anti-parasite herbal plants. Back to nature.,2026-05-18T05:54:18Z,0
Ugx1cF_mNIGpq3KZv-14AaABAg,KpZN0OA0GNc,Hantavirus outbreak sparks global health concerns and panic-driven speculation,SABC News,hantavirus outbreak news,@begginerm,they be manufacturing these viruses for fun atp,2026-05-18T09:57:41Z,0
UgwllwKES-y_KBLuZVJ4AaABAg,KpZN0OA0GNc,Hantavirus outbreak sparks global health concerns and panic-driven speculation,SABC News,hantavirus outbreak news,@monwabisimsutu917,This one is Trump disel,2026-05-17T17:55:42Z,0
