videoId,title,description,channelTitle,channelId,publishedAt,searchQuery,url,viewCount,likeCount,commentCount,commentsFetched,year,year_month,channel_type
V07bI_iyMVA,Hantavirus cruise ship docks after seven weeks at sea,"For more context and news coverage of the most important stories of our day, click here: https://www.nbcnews.com » Subscribe to ...",NBC News,UCeY0bbntWzzVIaj2z3QigXg,2026-05-18 12:58:33+00:00,hantavirus outbreak news,https://www.youtube.com/watch?v=V07bI_iyMVA,1558,28,3,2,2026,2026-05,news_media
KpZN0OA0GNc,Hantavirus outbreak sparks global health concerns and panic-driven speculation,The Hantavirus outbreak linked to the MV Hondius cruise ship has brought issues of disease outbreaks and pandemic ...,SABC News,UC8yH-uI81UUtEMDsowQyx1g,2026-05-17 16:21:21+00:00,hantavirus outbreak news,https://www.youtube.com/watch?v=KpZN0OA0GNc,8521,0,25,17,2026,2026-05,news_media
4URktweTzV4,Cruise ship linked to deadly hantavirus outbreak to reach Netherlands I Know what happened so far,The cruise ship linked to the deadly hantavirus outbreak is expected to reach Rotterdam after multiple infections and deaths were ...,The New Indian Express,UCQtVJ-76KjPds9evTODkq-A,2026-05-18 08:08:09+00:00,hantavirus outbreak news,https://www.youtube.com/watch?v=4URktweTzV4,4046,24,6,5,2026,2026-05,general_trending
COt1faxmdO0,Hantavirus Outbreak | Learn English with the News,Today you'll learn English with a news article about Hantavirus to improve your fluency fast while building advanced vocabulary ...,JForrest English,UCLNBasuHKOILIwewAetJO6g,2026-05-18 12:00:30+00:00,hantavirus outbreak news,https://www.youtube.com/watch?v=COt1faxmdO0,1587,275,28,25,2026,2026-05,news_media
4KWbgoo60D4,Last people aboard hantavirus ship finally disembark,"The MV Hondius was carrying 25 crew members and two medical personnel as it reached Rotterdam, after all the passengers ...",Sky News,UCoMdktPbSTixAyNGwb-UYkQ,2026-05-18 12:01:14+00:00,hantavirus outbreak news,https://www.youtube.com/watch?v=4KWbgoo60D4,1643,17,1,1,2026,2026-05,news_media
r3OBHJRHv7o,What are the origins of hantavirus? How the virus tied to the cruise ship outbreak came to be.,"The deadly hantavirus outbreak on a Dutch-flagged cruise ship was caused by the Andes virus, the only known strain to spread ...",CBS News,UC8p1vwvWtl6T73JiExfWs1g,2026-05-15 15:35:40+00:00,hantavirus outbreak news,https://www.youtube.com/watch?v=r3OBHJRHv7o,13624,111,23,15,2026,2026-05,news_media
jbm9i7D8ues,Cruise ship hit by deadly hantavirus outbreak arrives in the NetherlandsMV,"The MV Hondius cruise ship, which has been rocked by a deadly hantavirus outbreak, has docked at its final destination in the ...",CBC News,UCuFFtHWoLl5fauMMD5Ww2jA,2026-05-18 14:02:37+00:00,hantavirus outbreak news,https://www.youtube.com/watch?v=jbm9i7D8ues,1746,23,0,0,2026,2026-05,news_media
1VvqvxtYFx0,🚢 🤢 Hantavirus Cruise Ship Outbreak: “Close Contact” - What It Really Means [Dr. Frita Explains],Did you know that just 15 minutes within six feet of someone infected with hantavirus could be enough exposure to change ...,Dr. Frita,UCBve_ppCNE67fs3MsIocitg,2026-05-16 15:09:59+00:00,hantavirus outbreak news,https://www.youtube.com/watch?v=1VvqvxtYFx0,56748,1961,111,70,2026,2026-05,medical_expert
fz4CUcb2GzY,How Worried Should We Be About Hantavirus?,"Our global health reporter, Apoorva Mandavilli, explains that there is no indication the hantavirus outbreak could turn into a ...",The New York Times,UCqnbDFdCpuN8CMEg0VuEBqA,2026-05-13 16:45:07+00:00,hantavirus outbreak news,https://www.youtube.com/watch?v=fz4CUcb2GzY,64544,1596,98,43,2026,2026-05,news_media
xGd0cmOyRJ8,LIVE: Hantavirus Outbreak News: 3 Dead On Cruise Ship | WHO Chief Briefs On Hantavirus | India Today,"A rare Hantavirus outbreak has struck the luxury expedition cruise ship MV Hondius, leaving three passengers dead and several ...",India Today,UCYPvAwZP8pZhSMW8qs7cVCw,2026-05-17 02:09:55+00:00,hantavirus outbreak news,https://www.youtube.com/watch?v=xGd0cmOyRJ8,17111,59,3,3,2026,2026-05,news_media
