uri,author,replying_to,text,created_at,depth,likes,reposts
at://did:plc:jt7gzhduaswkv52mqq4phye6/app.bsky.feed.post/3mllkeuqxvk2a,mrhappyonbsky.eurosky.social,dietagespresse.com,😂🤣 and so it begins ..........,2026-05-11T15:06:01.095Z,1,0,0
at://did:plc:rumwkx7xd3dcbsp3e4i3ptwh/app.bsky.feed.post/3mlli37ic722m,cyberbadboy.com,,"Hantavirus is no joke 😂

That's why I've started washing my hands after touching rat feces 🐀

What are doing differently to fight hantavirus?💪",2026-05-11T14:24:49.316Z,0,1963,242
at://did:plc:xsxjfbeakywwtkml5q5lhcrc/app.bsky.feed.post/3mlll7ctvec25,freecialis.bsky.social,cyberbadboy.com,holy privilege batman. most working class people simply cant do this. maybe try again?,2026-05-11T15:20:48.286Z,1,106,1
at://did:plc:xhoys6noboked2gnfi27pxnt/app.bsky.feed.post/3mllles5k5k24,kloudkat.bsky.social,cyberbadboy.com,Downloading the Hentaivirus off KissAnime to teach my fucking computer a lesson,2026-05-11T15:23:52.102Z,1,2,0
at://did:plc:xcvngmugzz7owrg4pz4qzowt/app.bsky.feed.post/3mlljpksogc2h,greavesoflass.bsky.social,cyberbadboy.com,I've started masking when I go out to a rat feces restaurant.,2026-05-11T14:54:06.021Z,1,41,0
at://did:plc:wuox4nonwrphfgbdcrtaudo6/app.bsky.feed.post/3mllmu4cuyc2m,monstersnowgoon.bsky.social,cyberbadboy.com,"I quit eating raw rats, been cooking them till they reach an internal temp of 165 farenheit.",2026-05-11T15:50:19.822Z,1,19,0
at://did:plc:w73afk3zwqx3uedclk6al6ek/app.bsky.feed.post/3mlljojtfuk22,jasonthee.bsky.social,cyberbadboy.com,Cooking the feces to 180 degrees before eating.,2026-05-11T14:53:31.442Z,1,68,0
at://did:plc:w65vt5necqz2jogrijv72u7e/app.bsky.feed.post/3mllvma7ywk2q,c2snow.bsky.social,cyberbadboy.com,"Wearing a mask not just when cleaning out ski hill race shacks in the fall ( 🐀 🐁 💩) 
…
But also around stupid people.  

Seems whatever they have is toxic",2026-05-11T18:26:59.163Z,1,1,0
at://did:plc:vipfcsmoed24lkqry3z4vaju/app.bsky.feed.post/3mlqx4ynzr22y,bflmouse.bsky.social,cyberbadboy.com,"Personally, I'm staying away from rats, mice, and similar rodents.",2026-05-13T18:37:34.092Z,1,0,0
at://did:plc:uz5zkebjwucjwkyskhjdwjod/app.bsky.feed.post/3mllmw5pb222r,halibut.bsky.social,cyberbadboy.com,"Normally I keep rodent feces in a little jar and inhale their sweet aroma in the morning, but I stopped doing that.",2026-05-11T15:51:28.385Z,1,4,0
at://did:plc:tq726dzxxgkts6ff6urdigpx/app.bsky.feed.post/3mllnhdbisk2c,joodburn.bsky.social,cyberbadboy.com,Our house organization has put a plan in place to assess the feasibility of a hand washing plan. The voters will decide the budget,2026-05-11T16:01:04.650Z,1,3,0
